generator,backend,N,replicates_total,p_event,mean_K,KS_midp_stat,KS_midp_pvalue,KS_rand_stat,KS_rand_pvalue,tail_rate_rand_001,verdict
MT19937,cpu,50000,8000,0.01,500.014375,0.014375747258472349,0.07257472167340151,0.008057341077338881,0.6734859395628466,0.020875,compatible
PCG64,cpu,50000,8000,0.01,499.98925,0.012292954579365856,0.1766437691136853,0.0049947664887982635,0.9878462316204537,0.0225,compatible
Philox,cpu,50000,8000,0.01,499.708375,0.014955230917717,0.05527326323712567,0.010288626037505244,0.36294657187991064,0.019125,compatible
SFC64,cpu,50000,8000,0.01,499.8685,0.01619458394687745,0.02977714760709471,0.009816572417756797,0.42110366555891643,0.016875,compatible
