kind,pattern,control,bound,N,value,sample_size
distance,sexy,admissible_2310,127,1000000,0.016440764060683496,16386
filter_mass,sexy,"14,23,61,89",127,1000000,0.019284755278896618,16386
distance,twin,prime,27,3000000,0.0068867732170275761,20932
distance,twin,prime_non_twin,27,3000000,0.007622688028746865,20932
distance,twin,admissible_210,27,3000000,0.0079042523100955851,20932
distance,twin,admissible_2310,27,3000000,0.0079502658120800609,20932
filter_mass,twin,"14,23,61,89",27,3000000,0.61709344544238487,20932
distance,twin,prime,89,3000000,0.010117267706262248,20932
distance,twin,prime_non_twin,89,3000000,0.011198390450475579,20932
distance,twin,admissible_210,89,3000000,0.011489501928830153,20932
distance,twin,admissible_2310,89,3000000,0.011492384528673022,20932
filter_mass,twin,"14,23,61,89",89,3000000,0.23514236575578062,20932
distance,twin,prime,127,3000000,0.012193583488796303,20932
distance,twin,prime_non_twin,127,3000000,0.013496579596633019,20932
distance,twin,admissible_210,127,3000000,0.014110465084564594,20932
distance,twin,admissible_2310,127,3000000,0.014130090534866279,20932
filter_mass,twin,"14,23,61,89",127,3000000,0.018631759984712403,20932
distance,cousin,prime,27,3000000,0.007231599762655967,20826
distance,cousin,prime_non_cousin,27,3000000,0.0080000333391500485,20826
distance,cousin,admissible_210,27,3000000,0.0062174253233958521,20826
distance,cousin,admissible_2310,27,3000000,0.0062194687997444622,20826
filter_mass,cousin,"14,23,61,89",27,3000000,0.62349947181407861,20826
distance,cousin,prime,89,3000000,0.013422669433171578,20826
distance,cousin,prime_non_cousin,89,3000000,0.014848969313855456,20826
distance,cousin,admissible_210,89,3000000,0.013243056711960586,20826
distance,cousin,admissible_2310,89,3000000,0.013343049961998225,20826
filter_mass,cousin,"14,23,61,89",89,3000000,0.23681936041486601,20826
distance,cousin,prime,127,3000000,0.015392575591965911,20826
distance,cousin,prime_non_cousin,127,3000000,0.017028198732321462,20826
distance,cousin,admissible_210,127,3000000,0.015526556695078065,20826
distance,cousin,admissible_2310,127,3000000,0.015574959912329805,20826
filter_mass,cousin,"14,23,61,89",127,3000000,0.018102372034956304,20826
distance,sexy,prime,27,3000000,0.0029999127220051995,41559
distance,sexy,prime_non_sexy,27,3000000,0.0037112872908601621,41559
distance,sexy,admissible_210,27,3000000,0.0025588884111027348,41559
